UM_CODE,UM_NAMEF,global_id,UM_NAMES,UM_TRANS,UM_TYPE,UM_TM,UM_TE,UM_KLADR,,,,,,,,
8880,1-й Ирининский переулок,58481065,1-й Ирининский пер.,Pervy'j Irininskij pereulok,2,,102,"7,70000000007063E+016",,,,,,,,
8890,2-й Ирининский переулок,58481066,2-й Ирининский пер.,Vtoroj Irininskij pereulok,2,,102,"7,70000000003622E+016",,,,,,,,
8891,3-й Ирининский переулок,58481067,3-й Ирининский пер.,Tretij Irininskij pereulok,2,,102,"7,70000000003623E+016",,,,,,,,
8910,Иркутская улица,58481068,Иркутская ул.,Irkutskaya ulicza,1,,406,"7,70000000001397E+016",,,,,,,,
8920,1-й Иртышский проезд,58481069,1-й Иртышский пр.,Pervy'j Irty'shskij proezd,3,,406,"7,70000000003316E+016",,,,,,,,
8930,2-й Иртышский проезд,58481070,2-й Иртышский пр.,Vtoroj Irty'shskij proezd,3,,406,"7,70000000001398E+016",,,,,,,,
8935,улица Исаковского,58481071,ул. Исаковского,ulicza Isakovskogo,1,,905,"7,70000000001399E+016",,,,,,,,
8940,улица Искры,58481072,ул. Искры,ulicza Iskry',1,,303,"7,700000000014E+016",,,,,,,,
8950,проезд Воскресенские Ворота,58481073,пр. Воскресенские Ворота,proezd Voskresenskie Vorota,3,,108,"7,70000000007023E+016",,,,,,,,
8960,Истринская улица,58481074,Истринская ул.,Istrinskaya ulicza,1,,807,"7,70000000001402E+016",,,,,,,,
8970,1-я Кабельная улица,58481075,1-я Кабельная ул.,Pervaya Kabel`naya ulicza,1,,507,"7,70000000000243E+016",,,,,,,,
8980,2-я Кабельная улица,58481076,2-я Кабельная ул.,Vtoraya Kabel`naya ulicza,1,,507,"7,70000000000244E+016",,,,,,,,
8990,3-я Кабельная улица,58481077,3-я Кабельная ул.,Tret`ya Kabel`naya ulicza,1,,507,"7,70000000000245E+016",,,,,,,,
9000,4-я Кабельная улица,58481078,4-я Кабельная ул.,Chetvyortaya Kabel`naya ulicza,1,,507,"7,70000000000246E+016",,,,,,,,
9010,5-я Кабельная улица,58481079,5-я Кабельная ул.,Pyataya Kabel`naya ulicza,1,,507,"7,70000000000247E+016",,,,,,,,
9020,1-й Кабельный проезд,58481080,1-й Кабельный пр.,Pervy'j Kabel`ny'j proezd,3,,507,"7,70000000000248E+016",,,,,,,,
9030,2-й Кабельный проезд,58481081,2-й Кабельный пр.,Vtoroj Kabel`ny'j proezd,3,,507,"7,70000000000249E+016",,,,,,,,
9035,площадь Амилкара Кабрала,58481082,пл. Амилкара Кабрала,ploshhad` Amilkara Kabrala,4,,404,"7,70000000003518E+016",,,,,,,,
9040,Кавказский бульвар,58481083,Кавказский бульв.,Kavkazskij bul`var,8,,618,"7,70000000000491E+016",,,,,,,,
9050,Кадашёвская набережная,58481084,Кадашёвская наб.,Kadashyovskaya naberezhnaya,5,,103,110,"7,70000000001404E+016",,,,,,,
9060,1-й Кадашёвский переулок,58481085,1-й Кадашёвский пер.,Pervy'j Kadashyovskij pereulok,2,,110,"7,70000000001405E+016",,,,,,,,
